user_id,age,gender,education_level,employment_status,job_title,monthly_income_usd,monthly_expenses_usd,savings_usd,has_loan,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,record_date,expense_to_income_ratio,emi_to_income_ratio,cash_buffer_months,financial_obligation_ratio
U00001,56,Female,High School,Self-employed,Salesperson,3531.69,1182.59,367655.03,No,,0.0,0,0.0,0.0,0.0,430,104.10172750156441,Other,09-01-2024,0.33485102033304165,0.0,310.88968281483864,0.33485102033304165
U00002,19,Female,PhD,Employed,Salesperson,3531.73,2367.99,260869.1,Yes,Education,146323.34,36,4953.5,13.33,1.4,543,73.8643950698383,North America,13-02-2022,0.6704900997528123,1.402570411667936,110.16478110127156,2.0730605114207483
U00003,20,Female,Master,Employed,Teacher,2799.49,1003.91,230921.21,No,,0.0,0,0.0,0.0,0.0,754,82.4868851112167,Africa,12-05-2022,0.3586046029812573,0.0,230.02182466555766,0.3586046029812573
U00004,25,Male,PhD,Employed,Manager,5894.88,4440.12,304815.51,Yes,Business,93242.37,24,4926.57,23.93,0.84,461,51.70851823955704,Europe,02-10-2023,0.7532163504600602,0.8357371142415112,68.65028647874382,1.5889534647015713
U00005,53,Female,PhD,Employed,Student,5128.93,4137.61,461509.48,No,,0.0,0,0.0,0.0,0.0,516,89.98162969664237,Africa,07-08-2021,0.8067199201392882,0.0,111.54011132030327,0.8067199201392882
U00006,62,Male,Master,Employed,Student,4051.0,2244.42,194901.41,Yes,Car,407915.25,12,38219.81,22.21,9.43,718,48.11192545050605,North America,12-02-2025,0.5540409775364108,9.434660577635151,86.83820764384562,9.988701555171561
U00007,22,Female,Master,Student,Accountant,983.69,332.62,37522.56,Yes,Car,296057.6,180,6773.29,26.95,6.89,761,38.14470005794508,Asia,01-06-2024,0.33813498154906524,6.885594038772377,112.80909145571522,7.223729020321442
U00008,18,Female,Bachelor,Employed,Accountant,6199.29,4503.15,89107.54,No,,0.0,0,0.0,0.0,0.0,540,14.373829906327982,Africa,17-03-2024,0.7263977003818178,0.0,19.787824078700467,0.7263977003818178
U00009,49,Female,High School,Self-employed,Doctor,4271.51,3062.12,451923.96,No,,0.0,0,0.0,0.0,0.0,327,105.79957907156954,Africa,02-05-2023,0.7168706148411217,0.0,147.58531997439684,0.7168706148411217
U00010,61,Male,Master,Employed,Student,5216.18,4369.36,203320.5,Yes,Education,324197.37,360,6782.37,25.09,1.3,558,38.97881208087144,Asia,23-11-2024,0.8376551422688633,1.3002561261306165,46.533245143453506,2.13791126839948
U00011,26,Female,Master,Employed,Manager,3677.43,2247.92,311546.91,Yes,Education,127703.79,240,1818.01,16.43,0.49,412,84.71865134074612,Other,02-09-2022,0.6112747217486125,0.49436970928066615,138.59341524609414,1.1056444310292788
U00012,66,Other,Bachelor,Student,Unemployed,4808.1,1537.78,202875.2,No,,0.0,0,0.0,0.0,0.0,429,42.1944635094944,Other,21-02-2025,0.31983111832116634,0.0,131.9273238044454,0.31983111832116634
U00013,61,Male,Bachelor,Employed,Student,2449.33,1804.98,109956.88,No,,0.0,0,0.0,0.0,0.0,497,44.89263594534016,Asia,07-09-2024,0.7369280578770521,0.0,60.91861405666545,0.7369280578770521
U00014,65,Female,High School,Employed,Driver,5546.28,3630.24,453101.38,Yes,Car,404941.02,60,10823.31,20.42,1.95,788,81.69464578059528,North America,15-01-2022,0.6545360133278522,1.951453947510764,124.81306470095642,2.6059899608386163
U00015,57,Male,PhD,Employed,Accountant,3286.51,2287.38,323017.91,No,,0.0,0,0.0,0.0,0.0,301,98.2859963913087,North America,04-06-2024,0.6959905796726619,0.0,141.21742342767706,0.6959905796726619
U00016,65,Other,Bachelor,Unemployed,Student,5112.24,2573.59,218221.57,No,,0.0,0,0.0,0.0,0.0,430,42.686096505641366,Africa,03-11-2021,0.5034172887031908,0.0,84.79267093826134,0.5034172887031908
U00017,41,Male,Master,Unemployed,Engineer,4586.14,1389.77,93116.97,No,,0.0,0,0.0,0.0,0.0,462,20.30399638912026,Other,21-11-2023,0.3030369766295839,0.0,67.00171251358138,0.3030369766295839
U00018,58,Male,High School,Employed,Doctor,2571.3,1336.77,230407.66,No,,0.0,0,0.0,0.0,0.0,332,89.60745926185197,Africa,18-09-2021,0.5198809940497024,0.0,172.3614832768539,0.5198809940497024
U00019,68,Female,Bachelor,Employed,Unemployed,5757.35,3907.42,550538.43,No,,0.0,0,0.0,0.0,0.0,583,95.62358202992696,North America,14-02-2022,0.6786837694425386,0.0,140.89563701880013,0.6786837694425386
U00020,22,Male,Bachelor,Employed,Engineer,3520.81,1148.36,420217.83,No,,0.0,0,0.0,0.0,0.0,345,119.35260067995718,Other,22-07-2022,0.32616358167580756,0.0,365.9286547772476,0.32616358167580756
U00021,23,Male,High School,Student,Engineer,8237.77,7316.78,83622.72,Yes,Business,425717.2,36,13258.1,7.58,1.61,622,10.151135562172772,Europe,24-03-2023,0.8881991121383578,1.609428279740755,11.428896317779133,2.4976273918791128
U00022,49,Female,Bachelor,Employed,Teacher,7093.07,3500.65,723648.99,Yes,Home,180386.08,240,2286.5,14.33,0.32,707,102.0219721502819,Other,14-03-2023,0.4935310098448204,0.3223568920086789,206.7184637138817,0.8158879018534992
